timestamp,junction_id,sensor_id,vehicle_count,avg_speed,temp,rain_1h,snow_1h,clouds_all,congestion_level,is_congested
2012-10-02 09:00:00,J1,S1,5545,52.28,288.28,0.0,0.0,40,HIGH,1
2012-10-02 10:00:00,J1,S1,4516,57.42,289.36,0.0,0.0,75,MEDIUM,1
2012-10-02 11:00:00,J1,S1,4767,56.16,289.58,0.0,0.0,90,MEDIUM,1
2012-10-02 12:00:00,J1,S1,5026,54.87,290.13,0.0,0.0,90,MEDIUM,1
2012-10-02 13:00:00,J1,S1,4918,55.41,291.14,0.0,0.0,75,MEDIUM,1
2012-10-02 14:00:00,J1,S1,5181,54.1,291.72,0.0,0.0,1,MEDIUM,1
2012-10-02 15:00:00,J1,S1,5584,52.08,293.17,0.0,0.0,1,HIGH,1
2012-10-02 16:00:00,J1,S1,6015,49.92,293.86,0.0,0.0,1,HIGH,1
2012-10-02 17:00:00,J1,S1,5791,51.04,294.14,0.0,0.0,20,HIGH,1
2012-10-02 18:00:00,J1,S1,4770,56.15,293.1,0.0,0.0,20,MEDIUM,1
2012-10-02 19:00:00,J1,S1,3539,62.3,290.97,0.0,0.0,20,MEDIUM,1
2012-10-02 20:00:00,J1,S1,2784,66.08,289.38,0.0,0.0,1,LOW,0
2012-10-02 21:00:00,J1,S1,2361,68.19,288.61,0.0,0.0,1,LOW,0
2012-10-02 22:00:00,J1,S1,1529,72.36,287.16,0.0,0.0,1,LOW,0
2012-10-02 23:00:00,J1,S1,963,75.18,285.45,0.0,0.0,1,LOW,0
2012-10-03 00:00:00,J1,S1,506,77.47,284.63,0.0,0.0,1,LOW,0
2012-10-03 01:00:00,J1,S1,321,78.4,283.47,0.0,0.0,1,LOW,0
2012-10-03 02:00:00,J1,S1,273,78.64,281.18,0.0,0.0,1,LOW,0
2012-10-03 03:00:00,J1,S1,367,78.17,281.09,0.0,0.0,1,LOW,0
2012-10-03 04:00:00,J1,S1,814,75.93,279.53,0.0,0.0,1,LOW,0
2012-10-03 05:00:00,J1,S1,2718,66.41,278.62,0.0,0.0,1,LOW,0
2012-10-03 06:00:00,J1,S1,5673,51.64,278.23,0.0,0.0,1,HIGH,1
2012-10-03 08:00:00,J1,S1,6511,47.44,278.12,0.0,0.0,1,HIGH,1
2012-10-03 09:00:00,J1,S1,5471,52.64,282.48,0.0,0.0,1,MEDIUM,1
2012-10-03 12:00:00,J1,S1,5097,54.52,291.97,0.0,0.0,1,MEDIUM,1
2012-10-03 13:00:00,J1,S1,4887,55.56,293.23,0.0,0.0,1,MEDIUM,1
2012-10-03 14:00:00,J1,S1,5337,53.32,294.31,0.0,0.0,1,MEDIUM,1
2012-10-03 15:00:00,J1,S1,5692,51.54,295.17,0.0,0.0,1,HIGH,1
2012-10-03 16:00:00,J1,S1,6137,49.32,295.13,0.0,0.0,1,HIGH,1
2012-10-03 18:00:00,J1,S1,4623,56.89,293.66,0.0,0.0,20,MEDIUM,1
2012-10-03 19:00:00,J1,S1,3591,62.04,290.65,0.0,0.0,20,MEDIUM,1
2012-10-03 20:00:00,J1,S1,2898,65.51,288.19,0.0,0.0,20,LOW,0
2012-10-03 21:00:00,J1,S1,2637,66.82,287.1,0.0,0.0,1,LOW,0
2012-10-03 22:00:00,J1,S1,1777,71.11,286.25,0.0,0.0,1,LOW,0
2012-10-03 23:00:00,J1,S1,1015,74.92,285.26,0.0,0.0,1,LOW,0
2012-10-04 00:00:00,J1,S1,598,77.01,284.55,0.0,0.0,1,LOW,0
2012-10-04 01:00:00,J1,S1,369,78.16,283.47,0.0,0.0,1,LOW,0
2012-10-04 02:00:00,J1,S1,312,78.44,283.17,0.0,0.0,1,LOW,0
2012-10-04 03:00:00,J1,S1,367,78.17,282.04,0.0,0.0,1,LOW,0
2012-10-04 04:00:00,J1,S1,835,75.82,281.69,0.0,0.0,1,LOW,0
2012-10-04 05:00:00,J1,S1,2726,66.37,281.32,0.0,0.0,1,LOW,0
2012-10-04 06:00:00,J1,S1,5689,51.56,280.74,0.0,0.0,1,HIGH,1
2012-10-04 07:00:00,J1,S1,6990,45.05,280.57,0.0,0.0,1,HIGH,1
2012-10-04 08:00:00,J1,S1,5985,50.08,281.86,0.0,0.0,1,HIGH,1
2012-10-04 09:00:00,J1,S1,5309,53.46,284.98,0.0,0.0,1,MEDIUM,1
2012-10-04 10:00:00,J1,S1,4603,56.98,289.18,0.0,0.0,1,MEDIUM,1
2012-10-04 11:00:00,J1,S1,4884,55.58,291.55,0.0,0.0,1,MEDIUM,1
2012-10-04 12:00:00,J1,S1,5104,54.48,294.97,0.0,0.0,1,MEDIUM,1
2012-10-04 13:00:00,J1,S1,5178,54.11,296.38,0.0,0.0,1,MEDIUM,1
2012-10-04 14:00:00,J1,S1,5501,52.5,297.32,0.0,0.0,1,HIGH,1
2012-10-04 15:00:00,J1,S1,5713,51.44,298.17,0.0,0.0,1,HIGH,1
2012-10-04 16:00:00,J1,S1,6292,48.54,298.06,0.0,0.0,20,HIGH,1
2012-10-04 17:00:00,J1,S1,6057,49.72,297.67,0.0,0.0,20,HIGH,1
2012-10-04 18:00:00,J1,S1,4907,55.46,296.36,0.0,0.0,40,MEDIUM,1
2012-10-04 19:00:00,J1,S1,3503,62.48,293.85,0.0,0.0,40,MEDIUM,1
2012-10-04 20:00:00,J1,S1,3037,64.82,292.43,0.0,0.0,40,MEDIUM,1
2012-10-04 21:00:00,J1,S1,2822,65.89,291.77,0.0,0.0,75,LOW,0
2012-10-04 22:00:00,J1,S1,1992,70.04,291.36,0.0,0.0,75,LOW,0
2012-10-04 23:00:00,J1,S1,1166,74.17,291.12,0.0,0.0,75,LOW,0
2012-10-05 00:00:00,J1,S1,627,76.86,290.63,0.0,0.0,75,LOW,0
2012-10-05 01:00:00,J1,S1,388,78.06,290.46,0.0,0.0,40,LOW,0
2012-10-05 03:00:00,J1,S1,368,78.16,289.26,0.0,0.0,0,LOW,0
2012-10-05 05:00:00,J1,S1,2489,67.56,283.21,0.0,0.0,75,LOW,0
2012-10-05 06:00:00,J1,S1,5537,52.32,282.24,0.0,0.0,90,HIGH,1
2012-10-05 07:00:00,J1,S1,6628,46.86,281.69,0.0,0.0,90,HIGH,1
2012-10-05 08:00:00,J1,S1,5534,52.33,280.57,0.0,0.0,90,HIGH,1
2012-10-05 09:00:00,J1,S1,5403,52.98,280.02,0.0,0.0,75,MEDIUM,1
2012-10-05 10:00:00,J1,S1,4770,56.15,280.11,0.0,0.0,75,MEDIUM,1
2012-10-05 11:00:00,J1,S1,5217,53.92,280.0,0.0,0.0,90,MEDIUM,1
2012-10-05 12:00:00,J1,S1,5870,50.65,280.53,0.0,0.0,90,HIGH,1
2012-10-05 13:00:00,J1,S1,5967,50.16,281.43,0.0,0.0,75,HIGH,1
2012-10-05 14:00:00,J1,S1,6108,49.46,281.78,0.0,0.0,90,HIGH,1
2012-10-05 15:00:00,J1,S1,6128,49.36,281.91,0.0,0.0,90,HIGH,1
2012-10-05 16:00:00,J1,S1,6069,49.66,281.73,0.0,0.0,90,HIGH,1
2012-10-05 17:00:00,J1,S1,6169,49.16,281.42,0.0,0.0,90,HIGH,1
2012-10-05 18:00:00,J1,S1,5384,53.08,280.87,0.0,0.0,90,MEDIUM,1
2012-10-05 19:00:00,J1,S1,4063,59.68,280.15,0.0,0.0,90,MEDIUM,1
2012-10-05 20:00:00,J1,S1,3364,63.18,279.78,0.0,0.0,90,MEDIUM,1
2012-10-05 21:00:00,J1,S1,2971,65.14,279.65,0.0,0.0,75,LOW,0
2012-10-05 22:00:00,J1,S1,2450,67.75,279.22,0.0,0.0,40,LOW,0
2012-10-05 23:00:00,J1,S1,1832,70.84,279.06,0.0,0.0,40,LOW,0
2012-10-06 00:00:00,J1,S1,1231,73.84,278.81,0.0,0.0,90,LOW,0
2012-10-06 01:00:00,J1,S1,718,76.41,278.55,0.0,0.0,90,LOW,0
2012-10-06 02:00:00,J1,S1,545,77.28,278.59,0.0,0.0,90,LOW,0
2012-10-06 04:00:00,J1,S1,411,77.94,276.99,0.0,0.0,75,LOW,0
2012-10-06 05:00:00,J1,S1,688,76.56,276.35,0.0,0.0,20,LOW,0
2012-10-06 06:00:00,J1,S1,1352,73.24,275.4,0.0,0.0,1,LOW,0
2012-10-06 07:00:00,J1,S1,2072,69.64,275.17,0.0,0.0,1,LOW,0
2012-10-06 08:00:00,J1,S1,3342,63.29,274.99,0.0,0.0,1,MEDIUM,1
2012-10-06 09:00:00,J1,S1,4258,58.71,275.09,0.0,0.0,40,MEDIUM,1
2012-10-06 10:00:00,J1,S1,4861,55.7,276.88,0.0,0.0,20,MEDIUM,1
2012-10-06 11:00:00,J1,S1,5191,54.04,278.04,0.0,0.0,20,MEDIUM,1
2012-10-06 12:00:00,J1,S1,5669,51.66,279.08,0.0,0.0,40,HIGH,1
2012-10-06 13:00:00,J1,S1,5074,54.63,280.12,0.0,0.0,75,MEDIUM,1
2012-10-06 14:00:00,J1,S1,5025,54.88,280.25,0.0,0.0,75,MEDIUM,1
2012-10-06 15:00:00,J1,S1,5153,54.24,280.0,0.0,0.0,75,MEDIUM,1
2012-10-06 16:00:00,J1,S1,5024,54.88,279.06,0.0,0.0,90,MEDIUM,1
2012-10-06 17:00:00,J1,S1,4779,56.1,278.91,0.0,0.0,90,MEDIUM,1
2012-10-06 18:00:00,J1,S1,4362,58.19,278.39,0.0,0.0,90,MEDIUM,1
2012-10-06 19:00:00,J1,S1,3860,60.7,278.16,0.0,0.0,90,MEDIUM,1
2012-10-06 20:00:00,J1,S1,3160,64.2,278.16,0.0,0.0,90,MEDIUM,1
2012-10-06 21:00:00,J1,S1,2992,65.04,277.93,0.0,0.0,90,LOW,0
2012-10-06 22:00:00,J1,S1,3202,63.99,276.9,0.0,0.0,90,MEDIUM,1
2012-10-06 23:00:00,J1,S1,1941,70.3,276.34,0.0,0.0,75,LOW,0
2012-10-07 00:00:00,J1,S1,1233,73.83,276.11,0.0,0.0,75,LOW,0
2012-10-07 03:00:00,J1,S1,323,78.39,275.73,0.0,0.0,90,LOW,0
2012-10-07 04:00:00,J1,S1,312,78.44,275.65,0.0,0.0,90,LOW,0
2012-10-07 05:00:00,J1,S1,627,76.86,275.51,0.0,0.0,75,LOW,0
2012-10-07 06:00:00,J1,S1,1508,72.46,275.05,0.0,0.0,90,LOW,0
2012-10-07 07:00:00,J1,S1,1539,72.31,274.77,0.0,0.0,90,LOW,0
2012-10-07 08:00:00,J1,S1,2232,68.84,274.77,0.0,0.0,75,LOW,0
2012-10-07 09:00:00,J1,S1,4568,57.16,275.55,0.0,0.0,75,MEDIUM,1
2012-10-07 10:00:00,J1,S1,4624,56.88,276.24,0.0,0.0,75,MEDIUM,1
2012-10-07 11:00:00,J1,S1,4529,57.36,277.01,0.0,0.0,90,MEDIUM,1
2012-10-07 12:00:00,J1,S1,5139,54.3,277.43,0.0,0.0,90,MEDIUM,1
